symbol,sector,industry,country,shares_outstanding
EVEX.K,Industrials,Aerospace & Defense,United States of America,269359000
EVGN.O,Health Care,Biotechnology,Israel,5058488
EVGO.O,Consumer Discretionary,Specialty Retail,United States of America,102935965
EVH,Health Care,Health Care Technology,United States of America,116575773
EVI,Industrials,Trading Companies & Distributors,United States of America,12868709
EVLV.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,151310080
EVR,Financials,Capital Markets,United States of America,84767967
EVRG.O,Utilities,Electric Utilities,United States of America,229729296
EVTC.K,Financials,Financial Services,Puerto Rico,65450799
EVTL.K,Industrials,Aerospace & Defense,United Kingdom,22124924
EVTV.O,Consumer Discretionary,Automobiles,United States of America,15171748
EWBC.O,Financials,Banks,United States of America,169716102
EWCZ.O,Consumer Discretionary,Diversified Consumer Services,United States of America,51261001
EWTX.O,Health Care,Pharmaceuticals,United States of America,70453342
EXAS.O,Health Care,Biotechnology,United States of America,185616438
EXC.O,Utilities,Electric Utilities,United States of America,1007000000
EXE.O,Energy,"Oil, Gas & Consumable Fuels",United States of America,130789936
EXEL.O,Health Care,Biotechnology,United States of America,281732000
EXFY.O,Information Technology,Software,United States of America,85225328
EXLS.O,Industrials,Professional Services,United States of America,203410038
EXP,Materials,Construction Materials,United States of America,34143945
EXPD.K,Industrials,Air Freight & Logistics,United States of America,138003000
EXPE.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,300309000
EXPO.O,Industrials,Professional Services,United States of America,65706457
EXTR.O,Information Technology,Communications Equipment,United States of America,148503000
EYE.O,Consumer Discretionary,Specialty Retail,United States of America,84831000
EZGO.O,Consumer Discretionary,Automobiles,China,2675172
EZPW.O,Financials,Consumer Finance,United States of America,54552869
F,Consumer Discretionary,Automobiles,United States of America,3964000000
FA.O,Industrials,Professional Services,United States of America,145074802
FAF,Financials,Insurance,United States of America,103000000
FAMI.O,Consumer Staples,Food Products,China,10678953
FANG.O,Energy,"Oil, Gas & Consumable Fuels",United States of America,178723871
FARM.O,Consumer Staples,Food Products,United States of America,21264327
FARO.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,20343359
FAST.O,Industrials,Trading Companies & Distributors,United States of America,573320452
FAT.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,16900099
FATBB.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,16900099
FATE.O,Health Care,Biotechnology,United States of America,98627076
